URL,Name,Variants,Latin
https://viaf.org/viaf/69276186/,"Damocrates, Servilius, 1. Jh. n. Chr.","Damocrates, Servilius (po 1-przed 100)., Damocrates, Servilius 1. Jh., Damòcrates, Damocrates, Servilius",0
https://viaf.org/viaf/69320826/,"Aelius Dius, 2. Jh","Aelius Dius 2. Jh., Aelius Dius",0
https://viaf.org/viaf/69320835/,"Agis, Epigrammaticus, 3./2. Jh. v. Chr.","Agis, Agis Epigr., Ἆγις, Agis Epigrammaticus v3./2. Jh.",0
https://viaf.org/viaf/69320857/,"Ammonius, Epigrammaticus, 5. Jh. n. Chr.","Ἀμμώνιος, Ammonius Epigrammaticus 5. Jh. n. Chr, Ammonius Epigrammaticus 5. Jh.",0
https://viaf.org/viaf/69320890/,"Apollinarius, Epigrammaticus, 2. Jh. n. Chr.","Ἀπολλινάριος, Apollinarius Epigrammaticus 2. Jh.",0
https://viaf.org/viaf/69320928,"Asopodorus, Philasius","Asopodoros von Phleius Dichter, Asopodorus Phliasius v4./3. Jh.",0
https://viaf.org/viaf/69320937/,"Athanadas, Historicus","Atanades, Athanadas Historicus v3. Jh.",0
https://viaf.org/viaf/69320959/,"Basilides, Scythopolitanus, ca. 3. Jh. n. Chr","Basilides Scythopolitanus ca. 3. Jh., Basilides Scythopolitanus ca. 3. Jh. n. Chr, Basilides d'Escitòpolis",0
https://viaf.org/viaf/69320971/,"Callippus Comicus, 3./2. Jh. v. Chr","Cal·lip poeta, Callippus Comicus 3./2. Jh. v. Chr, Callippus Comicus v3./2. Jh.",0
https://viaf.org/viaf/69321096,Damocritus Historicus 1. Jh. v. Chr./1. Jh. n. Chr.,"Damocritus, Damocritus Historicus v1. Jh. / 1. Jh.",0
https://viaf.org/viaf/69321106/,"Demetrius Iliensis ca. 2.Jh.n.Chr.
                           ","Demetrius Iliensis ca. 2. Jh., Demetri d'Ilium historiador grec",0
https://viaf.org/viaf/69321152/,"Duris, Eleaticus, 4./3. Jh. v. Chr.",Duris Eleaticus 4./3. Jh. v. Chr,0
https://viaf.org/viaf/69321168/,Eleusis Historicus,Eleusis Historicus v3. Jh.,0
https://viaf.org/viaf/69321199/,"Euthymenes, Massiliensis, v6. Jh","Εὐθυμένης ὁ Μασσαλιώτης, Euthymenes Massiliensis v6. Jh.",0
https://viaf.org/viaf/69321201/,"Fabius, Ceryllianus, 3./4. Jh. n. Chr (attributed author)","Fabius Ceryllianus 3./4. Jh., Fabius Ceryllianus 3./4. Jh. n. Chr, Fabius Ceryllianus",0
https://viaf.org/viaf/69321229/,"Hagias, Historicus, v4./3. Jh","Hàgies, Hagias Historicus v4./3. Jh.",0
https://viaf.org/viaf/69321293/,"Laon, Comicus, 3. Jh. v. Chr","Laon Comicus 3. Jh. v. Chr, Laó, Laon Comicus v3. Jh.",0
https://viaf.org/viaf/69321374/,"Nicomachus, Comicus, 3. Jh. v. Chr.","Nicomachus Comicus 3. Jh. v. Chr, Никомах (поет), Nicomachus Comicus v3. Jh.",0
https://viaf.org/viaf/69321390/,"Pancrates, Epicus, 2. Jh. n. Chr.","Pancrates Epicus ca. 2. Jh., Pancrates d'Alexandria",0
https://viaf.org/viaf/69321451/,"Posidippus, Historicus, v4./3. Jh",Posidippus Historicus v4./3. Jh.,0
https://viaf.org/viaf/69321480/,Silenus Tragicus v2. Jh.,Silenus Tragicus v2. Jh.,0
https://viaf.org/viaf/69321507/,"Sodamus, Epigrammaticus, Person der Antike","Sodamus Epigrammaticus, Sodamus Epigrammaticus Person der Antike",0
https://viaf.org/viaf/69321511/,"Stesiclides, Atheniensis, 2./1. Jh.‏
  ",Stesiclides Atheniensis v2./1. Jh.,0
https://viaf.org/viaf/69321524/,"Sthenidas, Philosophus, 3. Jh. v. Chr./2. Jh. n. Chr.",Sthenidas Philosophus v3. Jh. / 2. Jh.,0
https://viaf.org/viaf/69321576,"Theolytus, Methymnaeus, ca. 3. Jh. v. Chr.","Theolytus Methymnaeus ca. 3.Jh.v.Chr., Teolit",0
https://viaf.org/viaf/69321582,"Theophilus, Historicus, Person der Antike","Theophilus Historicus, FHG 4",0
https://viaf.org/viaf/69321595,"Xenocrates, Historicus, Person der Antike",Xenocrates Historicus,0
https://viaf.org/viaf/69337831/,"Stephanus, Grammaticus, fl.12. Jh. ","Stephanus Grammaticus ca. 12. Jh., Στέφανος",0
https://viaf.org/viaf/69721469/,"Heliodorus, of Emesa",Heliodor (król Państwa Seleucydów),0
https://viaf.org/viaf/7001716/,Menippus of Pergamon,"Menippus Pergamenus, Menip de Pèrgam geògraf grec antic, Menippus Pergamenus ca. 1. Jh., Menippus, 1e eeuw, Menippus, of Pergamon",0
https://viaf.org/viaf/70051641/,"Irenaeus, Saint, Bishop of Lyon","Irénée, 013.?-019.?, saint, Irenaeus Lugdunensis 140-202, Irenaeus asi 130-202 svatý, Ireneu, de Lió, sant, Irenaeus, évêque de Lyon, saint, Irenaeus helgen, biskop av Lyon, Irenaeus Lugdunensis, s., 130/149-c. 198, Irenaeus, helgon, biskop av Lyon, d. ca 202, Εἰρηναῖος Λουγδούνου, Ireneo de Lyon, Santo, Irenaeus Lugdunensis,  svetnik, Ireneusz z Lyonu (święty ; ok. 140-ok. 202), Irenaeus, svatý, asi 130-202, Irenaeus, Svētais, Lionas bīskaps, Irenaeus of Lyons, Saint, Irenaeus, sanctus",0
https://viaf.org/viaf/70287663/,Agapētos ,"Agapetus, Agapetus, Diaconus, Agapetus Constantinopolitanus., Agapētos",0
https://viaf.org/viaf/7041070/,"Hippon, 5th cent. B.C.","Hippon, active 5th century B.C., Hippon 5th cent. B.C",0
https://viaf.org/viaf/70733943/,"Philētas, 330-270 B.C.","Φιλίτας, Filetas z Kos (330-270 p.n.e.)., Philitas Cous, Philetas, Philētas, 330 B.C.-270 B.C.",0
